,portfolio_basis,portfolio_delta,percent_change
2014-01-02,0,0,
2014-01-03,220130,-337.62,-0.0015337300685958298
2014-01-04,220130,0,0.0
2014-01-05,220130,0,0.0
2014-01-06,220130,-2325.85,-0.0105658020260755
2014-01-07,220130,600.22,0.0027266615181937947
2014-01-08,220130,2513.41,0.011417844001271975
2014-01-09,220130,4276.55,0.019427383818652614
2014-01-10,220130,2776.01,0.012610775450869941
2014-01-11,220130,0,0.0
2014-01-12,220130,0,0.0
2014-01-13,220130,-75.03,-0.00034084404669967747
2014-01-14,220130,1988.22,0.009032026529777859
2014-01-15,220130,3751.36,0.017041566347158497
2014-01-16,220130,4614.18,0.020961159314950257
2014-01-17,220130,3638.82,0.016530322990959887
2014-01-18,220130,0,0.0
2014-01-19,220130,0,0.0
2014-01-20,220130,0,0.0
2014-01-21,220130,4876.77,0.022154045336846413
2014-01-22,220130,3451.25,0.0156782355880616
2014-01-23,220130,9866.09,0.04481937945759324
2014-01-24,220130,3338.71,0.01516699223186299
2014-01-25,220130,0,0.0
2014-01-26,220130,0,0.0
2014-01-27,220130,-2400.87,-0.010906600645073365
2014-01-28,220130,10878.95,0.04942056966338073
2014-01-29,220130,13429.88,0.061008858401853445
2014-01-30,220130,11254.09,0.05112474446917731
2014-01-31,220130,11441.66,0.05197683187207559
2014-02-01,220130,0,0.0
2014-02-02,220130,0,0.0
2014-02-03,220130,1388,0.006305365011584064
2014-02-04,220130,4501.64,0.020449915958751647
2014-02-05,220130,5664.56,0.025732794257938493
2014-02-06,220130,26184.52,0.11895025666651524
2014-02-07,220130,22808.29,0.10361281969745151
2014-02-08,220130,0,0.0
2014-02-09,220130,0,0.0
2014-02-10,220130,24383.86,0.11077027211193385
2014-02-11,220130,25734.35,0.11690523781401899
2014-02-12,220130,25134.13,0.1141785762958252
2014-02-13,220130,27459.98,0.12474437832190069
2014-02-14,220130,28697.93,0.13036810066778723
2014-02-15,220130,0,0.0
2014-02-16,220130,0,0.0
2014-02-17,220130,0,0.0
2014-02-18,220130,29110.58,0.13224267478308274
2014-02-19,220130,23408.51,0.10633948121564529
2014-02-20,220130,25021.59,0.11366733293962658
